500,anxpp/JavaDesignPattern,227,6.9,0,https://github.com/anxpp/JavaDesignPattern
501,kungfoo/geohash-java,937,14.21,0,https://github.com/kungfoo/geohash-java
502,cod3rcursos/curso-java,935,3.56,0,https://github.com/cod3rcursos/curso-java
503,OfficeDev/ews-java-api,842,8.55,0,https://github.com/OfficeDev/ews-java-api
504,vipshop/vjtools,7438,4.8,9,https://github.com/vipshop/vjtools
505,google/conscrypt,1122,6.25,0,https://github.com/google/conscrypt
506,yahoo/serialize-javascript,2662,8.5,22,https://github.com/yahoo/serialize-javascript
507,googleapis/google-http-java-client,1312,8.18,46,https://github.com/googleapis/google-http-java-client
508,fuzhengwei/itstack-demo-design,5465,2.82,0,https://github.com/fuzhengwei/itstack-demo-design
509,peterarsentev/games_oop_javafx,130,4.89,0,https://github.com/peterarsentev/games_oop_javafx
510,peter-lawrey/Java-Chronicle,1222,11.18,0,https://github.com/peter-lawrey/Java-Chronicle
511,Viscent/javamtia,437,5.94,0,https://github.com/Viscent/javamtia
512,javastacks/javastack,643,4.18,0,https://github.com/javastacks/javastack
513,liyuechun/JavaScript30-liyuechun,312,5.66,0,https://github.com/liyuechun/JavaScript30-liyuechun
514,MorphiaOrg/morphia,1588,9.89,59,https://github.com/MorphiaOrg/morphia
515,codesONLY/JavaScriptONLY,366,2.23,0,https://github.com/codesONLY/JavaScriptONLY
516,lvminghui/Java-Notes,955,3.1,0,https://github.com/lvminghui/Java-Notes
517,wangzheng0822/ratelimiter4j,898,4.69,0,https://github.com/wangzheng0822/ratelimiter4j
518,jammy928/CoinExchange_CryptoExchange_Java,872,2.97,0,https://github.com/jammy928/CoinExchange_CryptoExchange_Java
519,TALKDATA/JavaBigData,424,4.15,0,https://github.com/TALKDATA/JavaBigData
520,sendgrid/sendgrid-java,450,9.56,58,https://github.com/sendgrid/sendgrid-java
521,stripe/stripe-java,650,11.6,598,https://github.com/stripe/stripe-java
522,eclipse/paho.mqtt.javascript,1059,7.24,1,https://github.com/eclipse/paho.mqtt.javascript
523,jfaster/mango,915,9.31,0,https://github.com/jfaster/mango
524,ulid/javascript,2240,6.75,7,https://github.com/ulid/javascript
525,twilio/twilio-java,418,13.5,203,https://github.com/twilio/twilio-java
526,AsyncHttpClient/async-http-client,6076,12.02,0,https://github.com/AsyncHttpClient/async-http-client
527,yrojha4ever/JavaStud,269,7.53,0,https://github.com/yrojha4ever/JavaStud
528,artur-shaik/vim-javacomplete2,987,7.82,10,https://github.com/artur-shaik/vim-javacomplete2
529,lxj/javascript.patterns,335,11.48,0,https://github.com/lxj/javascript.patterns
530,cn-panda/JavaCodeAudit,682,3.3,0,https://github.com/cn-panda/JavaCodeAudit
531,vladmihalcea/high-performance-java-persistence,1113,7.42,0,https://github.com/vladmihalcea/high-performance-java-persistence
532,actions/javascript-action,731,3.51,2,https://github.com/actions/javascript-action
533,apache/skywalking-java,486,1.55,7,https://github.com/apache/skywalking-java
534,wsieroci/audio-recognizer,655,10.81,0,https://github.com/wsieroci/audio-recognizer
535,pengrad/java-telegram-bot-api,1372,7.61,57,https://github.com/pengrad/java-telegram-bot-api
536,lenve/javadoc,684,2.31,0,https://github.com/lenve/javadoc
537,dunwu/java-tutorial,1469,5.29,0,https://github.com/dunwu/java-tutorial
538,sensorsdata/sa-sdk-javascript,765,7.36,207,https://github.com/sensorsdata/sa-sdk-javascript
539,yinchuandong/JavaVerify,206,8.48,0,https://github.com/yinchuandong/JavaVerify
540,amplitude/Amplitude-JavaScript,295,10.17,123,https://github.com/amplitude/Amplitude-JavaScript
541,superhj1987/pragmatic-java-engineer,1255,5.61,0,https://github.com/superhj1987/pragmatic-java-engineer
542,SummerSec/JavaLearnVulnerability,734,2.9,1,https://github.com/SummerSec/JavaLearnVulnerability
543,RoaringBitmap/RoaringBitmap,3003,9.74,9,https://github.com/RoaringBitmap/RoaringBitmap
544,MartinChavez/Javascript,900,7.91,1,https://github.com/MartinChavez/Javascript
545,google/auto,10045,9.81,57,https://github.com/google/auto
546,hierynomus/sshj,2258,13.05,0,https://github.com/hierynomus/sshj
547,Basir-PD/100-Projects-HTML-CSS-JavaScript,205,2.27,0,https://github.com/Basir-PD/100-Projects-HTML-CSS-JavaScript
548,naveenanimation20/PageObjectModel,435,5.47,0,https://github.com/naveenanimation20/PageObjectModel
549,JabRef/jabref,2927,9.01,37,https://github.com/JabRef/jabref
550,zarocknz/javascript-winwheel,474,7.03,7,https://github.com/zarocknz/javascript-winwheel
551,chihungyu1116/leetcode-javascript,836,7.66,0,https://github.com/chihungyu1116/leetcode-javascript
552,apache/datasketches-java,807,7.71,48,https://github.com/apache/datasketches-java
553,waylau/distributed-java,348,7.17,0,https://github.com/waylau/distributed-java
554,signalapp/libsignal-protocol-javascript,1974,6.77,1,https://github.com/signalapp/libsignal-protocol-javascript
555,ta4j/ta4j,1720,5.5,2,https://github.com/ta4j/ta4j
556,Javacord/Javacord,653,7.21,19,https://github.com/Javacord/Javacord
557,jjenkov/java-nio-server,889,7.41,0,https://github.com/jjenkov/java-nio-server
558,jenkinsci/java-client-api,872,10.32,0,https://github.com/jenkinsci/java-client-api
559,oneinstack/oneinstack,2198,7.75,6,https://github.com/oneinstack/oneinstack
560,JetBrains/skija,2553,2.94,0,https://github.com/JetBrains/skija
561,tylermcginnis/Modern-JavaScript-Curriculum,107,7.04,0,https://github.com/tylermcginnis/Modern-JavaScript-Curriculum
562,sohamkamani/javascript-design-patterns-for-humans,3411,6.06,0,https://github.com/sohamkamani/javascript-design-patterns-for-humans
563,bradtraversy/javascript_cardio,490,5.08,0,https://github.com/bradtraversy/javascript_cardio
564,agoncal/agoncal-application-petstore-ee7,192,9.83,0,https://github.com/agoncal/agoncal-application-petstore-ee7
565,ElzeroWebSchool/JavaScript_Bootcamp,521,2.03,0,https://github.com/ElzeroWebSchool/JavaScript_Bootcamp
566,typetools/checker-framework,897,7.7,98,https://github.com/typetools/checker-framework
567,ults-io/vscode-react-javascript-snippets,1313,5.77,0,https://github.com/ults-io/vscode-react-javascript-snippets
568,caveofprogramming/java-beginners,499,6.73,0,https://github.com/caveofprogramming/java-beginners
569,lenve/CoolMeeting,728,5.56,0,https://github.com/lenve/CoolMeeting
570,firebase/firebase-admin-java,454,6.0,17,https://github.com/firebase/firebase-admin-java
571,priya42bagde/JavaScriptCodingInterviewQuestions,311,1.71,0,https://github.com/priya42bagde/JavaScriptCodingInterviewQuestions
